record_id,item_id,facility_id,snapshot_date,anomaly_score,is_anomaly
SC00000001,ITEM00406,FAC0051,2022-06-02,0.37454551023259774,0
SC00000002,ITEM00106,FAC0116,2024-07-16,0.4048978417364507,0
SC00000003,ITEM00281,FAC0198,2024-08-22,0.4297022519651,0
SC00000004,ITEM00425,FAC0148,2021-11-02,0.3837756868844318,0
SC00000005,ITEM00029,FAC0059,2022-04-26,0.45055012772604186,0
SC00000006,ITEM00147,FAC0111,2021-02-18,0.4365715269068896,0
SC00000007,ITEM00108,FAC0197,2022-03-30,0.44591569152372806,0
SC00000008,ITEM00140,FAC0111,2022-07-04,0.5718154915158707,1
SC00000009,ITEM00097,FAC0089,2024-03-28,0.3991320807737482,0
SC00000010,ITEM00395,FAC0038,2024-09-11,0.4321851058234457,0
SC00000011,ITEM00068,FAC0057,2023-08-02,0.40166649890829614,0
SC00000012,ITEM00170,FAC0135,2023-12-07,0.44470848050109774,0
SC00000013,ITEM00307,FAC0197,2024-03-19,0.44425882134314076,0
SC00000014,ITEM00156,FAC0075,2024-10-29,0.40640081366642644,0
SC00000015,ITEM00308,FAC0135,2023-04-10,0.4085028225775592,0
SC00000016,ITEM00129,FAC0138,2021-04-23,0.3965429954654965,0
SC00000017,ITEM00128,FAC0057,2022-10-25,0.40815173173473157,0
SC00000018,ITEM00186,FAC0198,2022-10-18,0.4011746364424824,0
SC00000019,ITEM00444,FAC0079,2024-12-16,0.515767609090235,0
SC00000020,ITEM00361,FAC0067,2022-06-23,0.43638144139536544,0
SC00000021,ITEM00274,FAC0024,2023-01-09,0.41447109493372847,0
SC00000022,ITEM00441,FAC0113,2021-07-30,0.413921102694628,0
SC00000023,ITEM00206,FAC0060,2021-01-18,0.4235476543343802,0
SC00000024,ITEM00124,FAC0145,2023-02-02,0.40124963974058164,0
SC00000025,ITEM00280,FAC0014,2021-03-19,0.40874628535940666,0
SC00000026,ITEM00160,FAC0124,2024-11-28,0.439820814284881,0
SC00000027,ITEM00402,FAC0056,2021-11-19,0.4823756503779538,0
SC00000028,ITEM00021,FAC0162,2023-08-18,0.4039875061456735,0
SC00000029,ITEM00295,FAC0039,2022-05-10,0.41368819825186276,0
SC00000030,ITEM00148,FAC0002,2024-11-21,0.4071616575204579,0
SC00000031,ITEM00298,FAC0111,2023-08-07,0.4574044445067178,0
SC00000032,ITEM00308,FAC0089,2021-08-12,0.3726510279596286,0
SC00000033,ITEM00240,FAC0195,2024-04-10,0.4245420510173582,0
SC00000034,ITEM00395,FAC0197,2023-12-07,0.4174744918749079,0
SC00000035,ITEM00197,FAC0061,2023-11-02,0.48585437156380545,0
SC00000036,ITEM00308,FAC0145,2021-10-28,0.45898341847667323,0
SC00000037,ITEM00047,FAC0197,2024-12-10,0.42541335534229696,0
SC00000038,ITEM00236,FAC0014,2023-08-11,0.4359440003848736,0
SC00000039,ITEM00199,FAC0021,2023-07-21,0.41398218745795506,0
SC00000040,ITEM00069,FAC0131,2024-12-23,0.4241885974385073,0
SC00000041,ITEM00435,FAC0006,2023-04-19,0.3804504427210368,0
SC00000042,ITEM00443,FAC0024,2022-11-16,0.4068122892429504,0
SC00000043,ITEM00441,FAC0197,2022-11-24,0.38038055590695724,0
SC00000044,ITEM00285,FAC0187,2023-11-27,0.4025886674747587,0
SC00000045,ITEM00431,FAC0147,2021-01-25,0.3902438502065609,0
SC00000046,ITEM00097,FAC0056,2023-10-13,0.4624537655801456,0
SC00000047,ITEM00151,FAC0196,2024-09-16,0.5249960638192486,0
SC00000048,ITEM00040,FAC0101,2023-01-18,0.4431761112073137,0
SC00000049,ITEM00413,FAC0162,2022-01-14,0.40830500258897484,0
SC00000050,ITEM00444,FAC0074,2021-03-22,0.5812566282477529,1
SC00000051,ITEM00138,FAC0198,2022-10-13,0.4025128437162444,0
SC00000052,ITEM00358,FAC0083,2022-07-11,0.39934755641721,0
SC00000053,ITEM00087,FAC0059,2023-05-30,0.4687331885653431,0
SC00000054,ITEM00108,FAC0102,2021-03-30,0.4357670765039797,0
SC00000055,ITEM00380,FAC0108,2023-09-08,0.45957587034754555,0
SC00000056,ITEM00394,FAC0059,2022-01-10,0.5829597628219849,1
SC00000057,ITEM00057,FAC0183,2021-12-08,0.4086208548853284,0
SC00000058,ITEM00309,FAC0145,2022-05-12,0.5118821497919545,0
SC00000059,ITEM00287,FAC0004,2021-06-25,0.39997401407068195,0
SC00000060,ITEM00362,FAC0157,2022-01-21,0.4475094894990497,0
SC00000061,ITEM00433,FAC0145,2021-11-15,0.4355865256900679,0
SC00000062,ITEM00271,FAC0059,2024-11-19,0.4882002987822226,0
SC00000063,ITEM00285,FAC0067,2022-02-11,0.4074972888735763,0
SC00000064,ITEM00443,FAC0109,2021-04-13,0.44436871117490717,0
SC00000065,ITEM00197,FAC0159,2022-07-04,0.37636939534277936,0
SC00000066,ITEM00332,FAC0003,2023-01-02,0.5120648861830939,0
SC00000067,ITEM00430,FAC0168,2023-02-15,0.44689891110626007,0
SC00000068,ITEM00308,FAC0046,2021-05-27,0.5041592495272343,0
SC00000069,ITEM00006,FAC0056,2021-01-22,0.5318662784613294,0
SC00000070,ITEM00140,FAC0006,2021-06-15,0.49930256831701086,0
SC00000071,ITEM00181,FAC0181,2023-11-21,0.43684031655472094,0
SC00000072,ITEM00403,FAC0103,2021-09-14,0.48654192167115845,0
SC00000073,ITEM00122,FAC0045,2023-11-13,0.4099637931868503,0
