record_id,snapshot_date,facility_id,facility_type,department,item_id,item_category,item_subcategory,criticality_level,unit_of_measure,shelf_life_days,avg_daily_usage_last_30d,avg_daily_usage_last_90d,usage_cv_last_90d,demand_trend,seasonal_demand_factor,recent_usage_spike,current_stock_on_hand,safety_stock_level,days_of_supply_on_hand,stock_as_pct_of_safety_level,reorder_point_days,days_until_next_scheduled_order,primary_vendor_id,vendor_reliability_score,contracted_lead_time_days,actual_avg_lead_time_last_6m,lead_time_variability_days,active_po_in_transit,backorder_frequency_last_12m,sole_source_item,substitution_available,facility_census_pct,pandemic_or_surge_flag,days_since_last_stockout,stockout_event
SC00000001,2022-06-02,FAC0051,Acute Care Hospital,Emergency Department,ITEM00406,Medications,Biologics & Specialty,High,Each,651,12.1,11.7,0.26,Increasing,1.1,Yes,168,229,13.9,73.4,10.7,14,VND035,3.4,7,8.0,0.7,No,2,No,No,68.5,No,240,0
SC00000002,2024-07-16,FAC0116,Long-Term Care,Operating Room,ITEM00106,Medications,IV Medications,Medium,Case,80,10.0,8.2,0.412,Increasing,1.09,No,24,132,2.4,18.2,12.1,14,VND059,3.2,7,8.7,2.4,Yes,1,No,No,31.7,No,276,0
SC00000003,2024-08-22,FAC0198,Specialty Hospital,Emergency Department,ITEM00281,Surgical Supplies,Sponges & Gauze,High,Box,884,19.4,17.3,0.215,Increasing,1.25,No,772,630,39.8,122.5,18.1,28,VND023,2.5,12,15.7,0.4,No,1,No,No,72.2,No,74,0
SC00000004,2021-11-02,FAC0148,Acute Care Hospital,Operating Room,ITEM00425,Medications,Oral Medications,High,Case,507,26.0,29.7,0.171,Stable,1.1,No,315,416,12.1,75.7,7.0,14,VND081,3.2,3,3.6,1.4,No,2,No,No,39.8,No,87,0
SC00000005,2022-04-26,FAC0059,Long-Term Care,Emergency Department,ITEM00029,Implants & Prosthetics,Cardiovascular Implants,High,Each,1670,5.5,5.3,0.284,Decreasing,0.83,No,357,278,64.9,128.4,31.6,21,VND015,3.4,27,27.6,2.0,Yes,2,Yes,No,63.4,Yes,725,0
SC00000006,2021-02-18,FAC0111,Acute Care Hospital,Operating Room,ITEM00147,IV & Fluids,TPN Components,Medium,Box,356,94.5,88.3,0.34,Increasing,1.08,Yes,709,1320,7.5,53.7,9.8,14,VND022,4.9,6,7.0,1.8,Yes,1,No,No,84.6,No,87,0
SC00000007,2022-03-30,FAC0197,Outpatient Clinic,Procedure Room,ITEM00108,Wound Care,Negative Pressure Therapy,Low,Each,867,26.9,27.3,0.161,Stable,0.96,No,1498,300,55.7,499.3,6.1,14,VND034,3.5,4,4.7,0.4,No,2,Yes,No,79.3,No,36,0
SC00000008,2022-07-04,FAC0111,Acute Care Hospital,Labor & Delivery,ITEM00140,PPE,Protective Gowns,High,Each,1819,278.9,305.9,0.2,Stable,1.07,No,418,4711,1.5,8.9,10.0,14,VND043,3.5,4,4.2,3.8,Yes,0,No,Yes,77.0,No,51,0
SC00000009,2024-03-28,FAC0089,Specialty Hospital,Laboratory,ITEM00097,Lab Consumables,Reagents & Test Kits,Medium,Vial,252,46.1,54.0,0.163,Decreasing,0.94,Yes,1581,652,34.3,242.5,9.7,7,VND030,3.1,7,7.9,0.8,Yes,1,No,Yes,37.2,No,373,0
SC00000010,2024-09-11,FAC0038,Specialty Hospital,Laboratory,ITEM00395,Surgical Supplies,Needles & Syringes,Medium,Vial,540,32.0,33.0,0.107,Stable,0.93,No,1722,1176,53.8,146.4,28.6,14,VND021,3.4,24,25.0,2.6,Yes,1,No,Yes,69.9,No,27,0
SC00000011,2023-08-02,FAC0057,Ambulatory Surgery Center,Pre/Post-Op,ITEM00068,Surgical Supplies,Sponges & Gauze,Medium,Roll,893,53.9,46.6,0.326,Stable,1.05,No,329,670,6.1,49.1,5.5,21,VND057,3.1,2,2.5,2.0,Yes,0,No,No,47.2,No,4,1
SC00000012,2023-12-07,FAC0135,Specialty Hospital,Pharmacy,ITEM00170,PPE,Eye Protection,Low,Box,760,132.9,102.0,0.068,Stable,1.13,Yes,1302,765,9.8,170.2,6.2,7,VND034,3.5,4,4.5,0.7,No,1,No,No,47.3,No,24,0
SC00000013,2024-03-19,FAC0197,Outpatient Clinic,Nursing Station,ITEM00307,Lab Consumables,Reagents & Test Kits,High,Vial,272,85.8,96.9,0.269,Decreasing,0.96,No,583,3188,6.8,18.3,13.9,21,VND045,4.3,13,11.4,0.5,No,0,No,No,37.1,No,218,0
SC00000014,2024-10-29,FAC0075,Acute Care Hospital,Med-Surg,ITEM00156,Lab Consumables,PCR Consumables,High,Each,263,83.2,71.2,0.155,Increasing,1.21,No,532,847,6.4,62.8,10.2,7,VND041,3.1,5,6.3,1.9,No,1,No,Yes,80.1,No,9,0
SC00000015,2023-04-10,FAC0135,Specialty Hospital,Pharmacy,ITEM00308,IV & Fluids,Blood Products,High,Box,354,10.0,10.0,0.556,Stable,1.1,No,159,154,15.9,103.2,9.6,14,VND034,3.5,4,4.5,3.1,Yes,0,No,Yes,88.4,No,195,0
SC00000016,2021-04-23,FAC0138,Specialty Hospital,Med-Surg,ITEM00129,Medications,Oral Medications,Medium,Case,239,9.1,10.2,0.118,Decreasing,0.91,No,26,123,2.9,21.1,8.6,7,VND030,3.1,7,7.5,0.1,Yes,2,No,No,89.6,No,95,0
SC00000017,2022-10-25,FAC0057,Ambulatory Surgery Center,Operating Room,ITEM00128,Lab Consumables,PCR Consumables,High,Box,30,21.6,16.3,0.048,Increasing,1.2,No,454,479,21.0,94.8,8.9,28,VND002,4.3,7,6.8,0.1,No,2,No,Yes,80.0,No,50,1
SC00000018,2022-10-18,FAC0198,Specialty Hospital,Med-Surg,ITEM00186,PPE,Eye Protection,High,Box,1168,69.1,75.5,0.296,Increasing,0.98,Yes,1596,793,23.1,201.3,11.9,1,VND030,3.1,7,7.7,2.2,No,1,No,Yes,65.5,No,367,0
SC00000019,2024-12-16,FAC0079,Ambulatory Surgery Center,Operating Room,ITEM00444,PPE,Protective Gowns,Medium,Bag,1898,263.7,251.5,0.198,Increasing,1.23,Yes,1609,1591,6.1,101.1,6.4,7,VND057,3.1,2,2.2,3.2,Yes,0,Yes,No,22.8,No,38,0
SC00000020,2022-06-23,FAC0067,Acute Care Hospital,Pharmacy,ITEM00361,Lab Consumables,Slides & Stains,Medium,Each,307,53.3,56.4,0.061,Stable,0.87,No,2031,876,38.1,231.8,13.3,7,VND070,4.3,10,9.8,2.5,No,3,No,Yes,37.2,No,27,0
SC00000021,2023-01-09,FAC0024,Ambulatory Surgery Center,Sterile Processing,ITEM00274,Implants & Prosthetics,Orthopedic Implants,Medium,Box,1413,2.3,2.4,0.078,Stable,1.01,No,4,48,1.6,8.3,7.7,21,VND002,4.3,7,6.4,0.3,Yes,1,No,No,63.6,No,5,1
SC00000022,2021-07-30,FAC0113,Acute Care Hospital,Pharmacy,ITEM00441,Medications,IV Medications,High,Roll,276,9.1,7.5,0.227,Stable,0.83,No,218,257,24.0,84.8,19.7,21,VND073,4.4,14,17.6,0.1,No,1,No,Yes,79.4,No,46,1
SC00000023,2021-01-18,FAC0060,Ambulatory Surgery Center,Operating Room,ITEM00206,Surgical Supplies,Sutures & Staples,Low,Box,787,112.6,109.7,0.182,Decreasing,0.77,No,484,1591,4.3,30.4,14.7,7,VND078,4.1,11,11.6,2.1,Yes,0,No,Yes,73.9,No,21,0
